GlobalId,Name,IfcClass,UniformatDescription,Material
1whTkbAQdXdlaUPKFBqp25,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
31HR6eIMgrGKQyxb2UL2J1,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
109$XhgaMo7rHTayJwse2J,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
2ixmbfSmNvM3dFtEZQu_Wi,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
01tDxgEghxxr2xin2IA5Af,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
12AEaOtaUutevoxuYgT67q,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
1Eh3LKq9mtWlShzOGzAJTS,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
06gAxYf4bRMN4fxM45lgkX,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1WbPQSeYKZhTITp_TVfo4Z,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
06NBUUKGVm6$bQKAYbpqMI,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
2u0NDZVkmzD$eOYvnqrnR_,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3kFOEVVr$Cdc6hQI_CYUzK,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
1UgbELKvJQSrHm9i$4v1I3,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
1kyFlW0bd8qTi8CMaxZ4QU,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0JpOX$y4ucSkK6_UvXGUEg,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
3wTJujZ08ha1b1KK6ghtcd,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_SIL,IfcMember,Murs-rideaux,
0P_uYWyYDyPhIRD7m4OP6I,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
3zjOGN2RwcK2yB_ZOqFn6B,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1_$Ffjx3igybpCKlC_N_xS,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
0gXvDxVo7UtL3IulS9Fdqd,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
1CLzYbvohnU57az3OjdYAz,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
12fXOFmXjrekpuEu0cOaE2,Meneaux de murs-rideaux : Rectangular Mullion : MEN_64_191_V3_CAP_22,IfcMember,Murs-rideaux,
